year,month,day,hour,open_AAPL,high_AAPL,low_AAPL,close_AAPL,volume_AAPL,open_MSFT,high_MSFT,low_MSFT,close_MSFT,volume_MSFT,open_AMZN,high_AMZN,low_AMZN,close_AMZN,volume_AMZN,open_GOOGL,high_GOOGL,low_GOOGL,close_GOOGL,volume_GOOGL,open_META,high_META,low_META,close_META,volume_META,open_BRK.B,high_BRK.B,low_BRK.B,close_BRK.B,volume_BRK.B,open_JNJ,high_JNJ,low_JNJ,close_JNJ,volume_JNJ,open_V,high_V,low_V,close_V,volume_V,open_PG,high_PG,low_PG,close_PG,volume_PG,open_JPM,high_JPM,low_JPM,close_JPM,volume_JPM,open_TSLA,high_TSLA,low_TSLA,close_TSLA,volume_TSLA,open_NVDA,high_NVDA,low_NVDA,close_NVDA,volume_NVDA,open_WMT,high_WMT,low_WMT,close_WMT,volume_WMT,open_DIS,high_DIS,low_DIS,close_DIS,volume_DIS,open_HD,high_HD,low_HD,close_HD,volume_HD,open_VZ,high_VZ,low_VZ,close_VZ,volume_VZ,open_KO,high_KO,low_KO,close_KO,volume_KO,open_PEP,high_PEP,low_PEP,close_PEP,volume_PEP,open_INTC,high_INTC,low_INTC,close_INTC,volume_INTC,open_PFE,high_PFE,low_PFE,close_PFE,volume_PFE
2019.0,6.0,20.0,8.0,50.0925,50.1525,49.60503,49.6975,2125515.0,137.45,137.66,136.28,136.6176,9004820.0,96.6665,96.76,95.628,95.65625,74298.0,56.085,56.136,55.4255,55.515,19670.0,190.95,191.16,188.36,188.82001,6031409.0,208.50999,208.75,206.28,206.485,364290.0,141.25,142.31,141.0,141.72,1807253.0,172.50999,173.42,171.97,172.05499,3227883.0,110.78,111.49,110.495,111.41,1667537.0,110.88,111.085,109.0331,109.12,3964579.0,14.86667,15.12667,14.56667,14.58533,383828.0,39.1925,39.3325,38.5425,38.65,939699.0,36.60667,36.76333,36.42667,36.4565,516833.0,141.97501,142.03799,140.42889,140.7,2498609.0,209.57001,211.36,209.31,210.74049,1426246.0,57.9,57.95,56.93,57.1196,4725076.0,51.5,51.695,51.35,51.48,3168154.0,133.87,134.45,133.34,133.87,990134.0,47.87,48.05,47.2,47.28,7148291.0,41.58444,41.8501,41.29032,41.33302,5121476.0
2019.0,6.0,20.0,12.0,49.6975,49.895,49.5325,49.8825,1774423.0,136.62,136.89999,135.765,136.845,11613103.0,95.68039,95.926,95.344,95.8305,52135.0,55.5315,55.743,55.3505,55.5675,18074.0,188.75999,189.23,187.71001,189.02,4528578.0,206.4832,208.11,206.0414,208.07001,1266462.0,141.73,142.355,141.47,141.8701,2484334.0,172.05,173.56,171.78,173.47,3355887.0,111.405,111.85,110.95,111.71,2203586.0,109.115,110.255,109.1101,110.14,4257406.0,14.586,14.71467,14.42333,14.62515,313188.0,38.655,38.81,38.385,38.53,685384.0,36.46333,36.69667,36.44667,36.69,581230.0,140.70219,141.75999,139.91,141.65331,2317154.0,210.74001,211.09,209.39999,210.87,1526481.0,57.115,57.505,56.97,57.29,5569445.0,51.48,51.65,51.425,51.61,3288548.0,133.87,134.19,133.53999,134.03,1313370.0,47.28,47.36,46.87,47.0,7269286.0,41.33776,41.56547,41.27609,41.44213,5791107.0
2019.0,6.0,20.0,16.0,49.88,49.995,49.8425,49.84485,670571.0,136.845,137.31,136.755,136.89,3949627.0,95.8257,95.9975,95.778,95.8975,16324.0,55.56625,55.7665,55.533,55.682,9709.0,189.03,189.88,188.97,189.31,2139082.0,208.0701,208.60001,207.94,208.08,573117.0,141.87,142.39999,141.8,142.19,920255.0,173.47,173.94,173.33,173.72,1154003.0,111.715,112.02,111.63,111.76,1313019.0,110.145,110.46,110.06,110.18,1855979.0,14.62,14.66333,14.56667,14.63933,50559.0,38.5325,38.56,38.4675,38.525,261014.0,36.69167,36.83,36.67,36.78,251545.0,141.64999,142.2285,141.575,141.99001,985817.0,210.87,211.66,210.75,211.2,642595.0,57.295,57.5,57.245,57.34,2496365.0,51.61,51.785,51.58,51.66,1860993.0,134.03,134.36,133.9287,134.11,624150.0,47.0,47.25,46.97,47.17,2452679.0,41.44687,41.51802,41.33776,41.37571,3870228.0
2019.0,6.0,21.0,8.0,49.7,50.185,49.5375,50.06215,3173791.0,136.58,137.73,136.46001,137.39,3698050.0,95.805,96.2975,95.42,95.9641,76148.0,55.493,56.3285,55.486,56.1025,8659.0,188.75,192.0,188.75,191.285,2826544.0,208.42999,208.72,207.41,208.37,276743.0,141.46001,141.78999,141.00999,141.38,4415443.0,173.27,174.8065,173.16,174.5,3481295.0,111.62,112.25,111.32,112.02,4333695.0,110.19,111.67,110.19,111.18,6109090.0,14.41467,14.812,14.36667,14.60267,253240.0,38.375,38.87,38.0025,38.645,897583.0,36.78,37.3,36.77,37.22333,259332.0,141.95,142.0,140.7,141.478,3917586.0,211.25999,211.99001,209.59,209.73,588111.0,57.09,57.8,57.09,57.795,6292985.0,51.53,51.89,51.41,51.65,1149159.0,134.16,134.56,133.69,134.09,373331.0,46.95,47.73,46.8,47.535,10734601.0,41.31878,41.537,41.09108,41.48008,1463525.0
2019.0,6.0,21.0,12.0,50.0608,50.2125,49.9025,49.93535,2357352.0,137.39,137.57001,136.72,137.13,8041156.0,95.952,96.1445,95.62,95.71825,48746.0,56.10775,56.1825,55.8425,56.1122,19594.0,191.28,191.7,190.36,191.60001,5430024.0,208.37,208.58,207.0,207.03,1211618.0,141.38,141.89999,141.31,141.84,2213879.0,174.5,174.64999,173.22,173.36501,2503036.0,112.02,112.47,111.7266,112.27,2006964.0,111.17,111.35,110.335,110.34,3798925.0,14.60855,14.78667,14.52333,14.748,192591.0,38.6325,38.7025,37.875,37.93375,976238.0,37.22333,37.39667,37.22333,37.31667,1148872.0,141.485,141.83,141.0403,141.56,2070560.0,209.69,210.36,209.08,209.83,1423923.0,57.795,57.92,57.7,57.78,3970568.0,51.655,51.79,51.57,51.75,3234239.0,134.09,134.39,133.63,134.36,1214239.0,47.53,47.67,47.22,47.41,5368427.0,41.48956,41.74573,41.35674,41.72675,6299947.0
2019.0,6.0,21.0,16.0,49.935,49.995,49.6575,49.6925,1009591.0,137.14,137.32001,136.87,136.95,2616631.0,95.70964,95.7305,95.379,95.531,18821.0,56.127,56.2715,56.02834,56.2595,25714.0,191.60001,191.67999,191.06,191.17,1624384.0,207.03,207.19,206.03,206.25999,701764.0,141.85001,142.425,141.75,142.17999,1025522.0,173.36,173.75999,173.22,173.41,1083428.0,112.265,112.3055,111.02,111.24,1696238.0,110.345,110.42,109.09,109.71,5505080.0,14.74867,14.79867,14.728,14.79267,62147.0,37.935,38.05,37.8975,37.9325,292779.0,37.32,37.32667,37.02333,37.06,410189.0,141.55,141.61,140.0,140.25999,2082750.0,209.845,209.95,209.08,209.38,766878.0,57.785,57.84,57.67,57.78,2811245.0,51.755,51.76,51.51,51.56,2486319.0,134.36501,134.47,133.86,133.97,730486.0,47.415,47.57,47.38,47.46,3698220.0,41.72201,41.74573,41.34725,41.45161,5480313.0
2019.0,6.0,24.0,8.0,49.635,50.04,49.5425,49.87,1635686.0,137.0,138.0,137.0,137.96001,5334106.0,95.633,95.843,95.065,95.41088,48314.0,56.0,56.1785,55.6655,55.906,23444.0,192.42,193.98,191.57001,193.39,7272604.0,206.39,207.59,205.96001,207.27,736959.0,142.42,143.425,142.09,143.39,1718716.0,174.60001,174.73,172.72,173.5,1948593.0,111.82,112.48,111.4,112.45,1825625.0,109.28,109.77,108.71,109.26,3967028.0,14.88267,15.05733,14.73467,14.85333,180613.0,38.155,38.34,37.68,38.315,712074.0,37.16333,37.40667,37.05,37.095,786369.0,140.12,140.47,137.8,138.74001,3807884.0,208.14999,209.25999,205.5253,206.205,1616296.0,57.98,58.665,57.93,58.53,3100407.0,51.74,52.11,51.7,52.11,2856932.0,134.64999,135.242,133.94,134.66,878964.0,47.4,47.74,47.17,47.63,4803634.0,41.45161,41.56547,41.24289,41.37571,4593578.0
2019.0,6.0,24.0,12.0,49.87095,49.9,49.715,49.73,1434224.0,137.96001,138.39999,137.59,137.7356,8016384.0,95.40978,95.75,95.346,95.6465,39848.0,55.926,55.983,55.7605,55.8505,17063.0,193.39999,193.57001,192.42,192.47771,4406207.0,207.28999,207.39999,206.81,207.02,876712.0,143.38,143.7,143.05,143.2,1934500.0,173.47,174.186,173.39,174.14,1627471.0,112.44,112.5,112.06,112.335,1920423.0,109.265,109.43,109.015,109.125,3591467.0,14.85267,15.01933,14.804,14.96067,156353.0,38.325,38.4625,38.19,38.2325,542818.0,37.095,37.16757,37.01,37.11333,654222.0,138.73,139.09,138.35001,138.81,3115147.0,206.17999,206.33,205.12,205.42,1487494.0,58.5201,58.5201,58.095,58.155,3048623.0,52.1,52.2,51.87,52.01,4824284.0,134.675,134.8,134.02521,134.34,1051302.0,47.635,47.8455,47.5621,47.6834,5169579.0,41.37941,41.58444,41.34725,41.54649,7244537.0
2019.0,6.0,24.0,16.0,49.7325,49.84,49.615,49.6375,541670.0,137.74001,138.0,137.71001,137.8,2317970.0,95.6605,95.7425,95.57564,95.6985,10292.0,55.8465,55.89225,55.7225,55.8595,9885.0,192.4814,192.84,192.31,192.57001,1939950.0,207.02,207.105,206.22,206.85001,416388.0,143.2,143.5,143.00999,143.07001,823423.0,174.14999,174.175,173.7,173.88,696287.0,112.335,112.5,112.26,112.35,921378.0,109.12,109.1984,108.535,108.665,2573469.0,14.959,14.97467,14.904,14.90933,33443.0,38.2375,38.245,38.1425,38.165,165467.0,37.11333,37.12,37.06,37.08667,285423.0,138.82001,139.22,138.77,139.21001,994501.0,205.44,205.66,205.14,205.37,720901.0,58.16,58.28,58.115,58.28,1152129.0,52.015,52.03,51.91,51.94,1616567.0,134.34,134.44,133.97,134.16,531771.0,47.69,47.76,47.595,47.63,2412095.0,41.54649,41.65086,41.51802,41.52751,3344361.0
2019.0,6.0,25.0,8.0,49.6075,49.815,49.41,49.435,1694623.0,137.25,137.59,134.47,134.89,11649510.0,95.592,95.81925,94.279,94.56079,60274.0,55.754,55.785,54.4135,54.714,27640.0,192.88,193.14,188.75999,189.98,7375956.0,207.41,208.25999,206.80009,208.03,850558.0,143.27,144.98,143.19,144.0,2391609.0,174.81,174.94,172.1731,172.963,1947638.0,112.11,112.63,111.31,112.365,1867398.0,108.68,108.98,107.67,108.7892,4177735.0,14.95933,15.02267,14.63267,14.72533,189023.0,38.215,38.97,38.075,38.595,774916.0,36.96,37.143,36.85333,37.0744,642590.0,139.02,140.069,138.67,140.00999,2497491.0,206.3,207.10001,205.10001,206.10001,1075483.0,58.18,58.26,57.91,58.1,2548178.0,52.0,52.1,51.855,51.95,3331106.0,133.98,134.48,133.72,134.25999,892864.0,47.56,47.68,47.38,47.47,3567413.0,41.60341,42.02087,41.57495,41.75048,7462991.0
